管片号码,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
181,2100,12,53,0.9,11209,2
182,2073,13,52,0.9,9400,2
183,1747,10,58,0.9,11093,2
184,2209,14,50,0.9,11855,2
185,2072,13,48,0.9,12759,2
186,2185,13,52,0.9,12282,2
187,2020,14,52,0.9,10494,2
188,2123,12,41,0.9,14325,2
189,2277,12,46,0.9,14092,3
190,2257,14,55,0.9,11690,3
191,2039,14,55,0.9,9564,3
192,1982,11,47,0.9,12018,3
193,2086,12,53,0.9,9823,3
194,1938,11,52,0.9,10452,3
195,2285,11,51,0.9,9559,3
196,2157,10,42,0.9,12783,3
197,2055,11,53,0.9,11479,3
198,2213,13,53,0.9,12544,2
199,2349,14,51,0.9,10709,2
200,1851,12,57,0.9,8478,2
201,1957,10,60,0.9,7258,2
202,1960,9,52,0.9,8975,2
203,1972,10,63,0.9,6582,2
204,1772,9,57,0.9,7864,2
205,1916,9,53,0.9,9091,3
206,1972,10,65,0.9,7397,3
207,1894,10,64,0.9,7909,3
208,2000,11,60,0.9,6835,2
209,1842,9,53,0.9,8750,2
210,2117,10,56,0.9,7904,2
211,1868,9,58,0.9,7104,2
212,1702,9,52,0.9,7927,2
213,1916,9,53,0.9,7012,2
214,1750,8,60,0.9,6935,3
215,1977,9,48,0.9,8128,3
216,1823,8,52,0.9,7421,4
217,1823,8,54,0.9,6674,4
218,1588,8,63,0.9,8617,4
219,2160,11,59,0.9,11259,4
220,2514,14,43,0.9,11950,4
221,2248,11,47,0.9,9067,4
222,2005,9,54,0.9,8668,3
223,2022,10,55,0.9,7665,3
224,1773,9,60,0.9,6410,3
225,1806,8,56,0.9,8300,2
226,2092,10,62,0.9,7091,2
227,1866,9,67,0.9,8620,1
228,2111,12,66,0.9,8545,2
229,1865,12,63,0.9,7871,2
230,1989,10,62,0.9,8123,2
231,1860,11,65,0.9,6692,3
232,1773,9,67,0.9,8015,3
233,2013,11,57,0.9,8651,3
234,1964,10,58,0.9,6682,3
235,2115,8,56,0.9,8773,3
236,1840,10,48,0.9,11359,3
237,2059,11,56,0.9,8585,4
238,1775,10,54,0.9,10593,4
239,2120,12,58,0.9,8525,4
